labels,lyrics
Not_bob,"No, my baby don't play (No) Blame it on my confidence or blame it on your measurements "
Not_bob,That's right We out here drippin' in finesse It don't make no sense Out here drippin' in finesse 
Not_bob,We out here drippin' in finesse It don't make no sense Out here drippin' in finesse 
Not_bob,"Now, slow it down for me, baby (Slow it down, girl) "
Not_bob,Our connection's so magnetic on the floor Nothing can stop us tonight 
Not_bob,I watch the whole room change (I watch the whole room change) 
Not_bob,"No, my baby don't play (No) Blame it on my confidence or blame it on your measurements "
Not_bob,That's right We out here drippin' in finesse It don't make no sense Out here drippin' in finesse 
Not_bob,We out here drippin' in finesse It don't make no sense Out here drippin' in finesse 
Not_bob,"Fellas, grab your ladies if your lady fine Tell her she the one, she the one for life (Woo) "
Not_bob,"If you're on one like me and mine (Ow) Yeah, we got it goin' on, got it goin' on "
Not_bob,"Yeah, we got it goin' on, got it goin' on, yeah Girl, we got it goin' on "
Not_bob,Don't it feel so good to be us? Ayy (It feels so good with you) 
Not_bob,We out here drippin' in finesse (We drippin' on 'em) It don't make no sense 
Not_bob,"You know it, you know it We out here drippin' in finesse with my baby It don't make no sense (Oh-oh) "
Not_bob,"You know it, you know it (Girl, you know we got it goin' on) "
Not_bob,"Don't it feel so good to be us? Ayy Yeah, we got it goin' on, got it goin' on "
Not_bob,"Yeah, we got it goin' on, got it goin' on (Girl, we got it) "
Not_bob,"Yeah, we got it goin' on, got it goin' on (Woo) You know it, you know it133 "
Not_bob,Above us all the stars are watchin' There's no place I'd rather be in this world 
Not_bob,Underneath the chandelier We're dancin' all alone There's no reason to hide 
Not_bob,"Right now So, baby, let's just turn down the lights And close the door Oooh I love that dress "
Not_bob,"No, you won't need it no more Let's just kiss 'til we're naked, baby Versace on the floor "
Not_bob,"Versace on the floor Oooh take it off for me, for me, for me, for me now, girl "
Not_bob,"While I kiss your neck and shoulders No, don't be afraid to show it all "
Not_bob,"Girl, you know you're perfect from Your head down to your heels Don't be confused by my smile "
Not_bob,So just turn down the lights And close the door Oooh I love that dress But you won't need it anymore 
Not_bob,"Let's just kiss 'til we're naked, baby Versace on the floor "
Not_bob,"Versace on the floor Oooh take it off for me, for me, for me, for me now, girl It's warmin' up "
Not_bob,"It's warmin' up Can you feel it? It's warmin' up Can you feel it, baby? It's warmin' up "
Not_bob,"Let's just kiss 'til we're naked Versace on the floor Hey, baby "
Not_bob,"Versace on the floor Oooh take it off for me, for me, for me, for me now, girl Versace on the floor "
Not_bob,Tonight I just wanna take you higher Throw your hands up in the sky Let's set this party off right 
Not_bob,"Put your pinky rings up to the moon Girls, what y'all tryna do? 24-karat magic in the air "
Not_bob,"Look out, uh Pop-pop, it's show time (Show time), show time (Show time) "
Not_bob,"Oh, they don't know? (Go on, tell 'em) Oh, they don't know? (Go on, tell 'em) "
Not_bob,"Wearin' Cuban links (Yeah), designer minks (Yeah) Inglewood's finest shoes (Woop, woop) "
Not_bob,"Known to give the color red the blues Woo, shit "
Not_bob,So many pretty girls around me and they wakin' up the rocket (Keep up) 
Not_bob,"Players only, come on Put your pinky rings up to the moon Girls, what y'all tryna do? "
Not_bob,"Head to toe so player Look out, uh Second verse for the hustlers (Hustlers), gangsters (Gangsters) "
Not_bob,Can I preach? (Uh-oh) Can I preach? (Uh-oh) I gotta show 'em how a pimp get it in 
Not_bob,Spend your money like money ain't shit Ooh-ooh (We too fresh) 
Not_bob,"They ain't ready for me, uh I'm a dangerous man with some money in my pocket (Keep up) "
Not_bob,"Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up) Players only, come on "
Not_bob,"What y'all tryna do? (What you tryna do?) 24-karat magic in the air (Air, air) "
Not_bob,"Look out, uh (Woo) Everywhere I go, they be like (Ooh, so player) "
Not_bob,"(Woo) Everywhere I go, they be like (Ooh, so player, ooh) Now, now, now "
Not_bob,"24-karat (Woo), 24-karat magic (What's that sound?) 24-karat, 24-karat magic (Come on now) "
Not_bob,"Don't fight the feelin', invite the feelin', just Put your pinky rings up to the moon (Ooh) "
Not_bob,"24-karat magic in the air (Yeah, get up) Head to toe so player (Hands up) "
Not_bob,"Girls, what y'all tryna do? (24-karat, 24-karat magic; do) "
Not_bob,"Head to toe so player (24-karat) Look out, uh (24-karat magic)78 "
Not_bob,"Our song on the radio, but it don't sound the same "
Not_bob,"'Cause my heart breaks a little when I hear your name It all just sounds like (Ooh, ooh) "
Not_bob,That I should've bought you flowers And held your hand Shoulda gave you all my hours 
Not_bob,Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' 
Not_bob,"Uh, my pride, my ego, my needs, and my selfish ways "
Not_bob,"Now I'll never, never get to clean up the mess I made, oh "
Not_bob,"It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize "
Not_bob,And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 
Not_bob,Now my baby's dancin' But she's dancin' with another man Although it hurts 
Not_bob,"I was wrong Oh, I know I'm probably much too late To try and apologize for my mistakes "
Not_bob,I hope he buys you flowers I hope he holds your hand Give you all his hours When he has the chance 
Not_bob,'Cause I remember how much you love to dance Do all the things I should've done When I was your man 
Not_bob,"When I was your man180 (One, two, one, two, three) Aw, yeah, yeah Aw, yeah, yeah, yeah, yeah (Uh) "
Not_bob,"Aw, yeah, yeah, yeah, yeah (Uh) Never had much faith in love or miracles (Uh) "
Not_bob,But swimmin' in your water's somethin' spiritual (Uh) 
Not_bob,"'Cause your sex takes me to paradise Yeah, your sex takes me to paradise And it shows "
Not_bob,'Cause you make me feel like I've been locked outta heaven For too long For too long 
Not_bob,"I've been locked outta heaven For too long For too long Aw, yeah, yeah, yeah, yeah (Uh) "
Not_bob,"Aw, yeah, yeah, yeah, yeah (Uh) You bring me to my knees, you make me testify (Uh) "
Not_bob,Open up your gates 'cause I can't wait to see the light (Uh) 
Not_bob,"'Cause your sex takes me to paradise Yeah, your sex takes me to paradise And it shows "
Not_bob,'Cause you make me feel like I've been locked outta heaven For too long For too long 
Not_bob,"I've been locked outta heaven For too long For too long Oh, woah, woah, woah Yeah, yeah, yeah "
Not_bob,"Spend the rest of my days here? Oh, woah, woah, woah Yeah, yeah, yeah Can I just stay here? "
Not_bob,'Cause you make me feel like I've been locked outta heaven For too long For too long 
Not_bob,"I've been locked outta heaven For too long For too long Aw, yeah, yeah, yeah, yeah (Uh) "
Not_bob,"Aw, yeah, yeah, yeah, yeah (Uh)81 If you ever leave me, baby Leave some morphine at my door "
Not_bob,To realize what we used to have We don't have it anymore There's no religion that could save me 
Not_bob,So keep in mind all the sacrifices I'm makin' To keep you by my side 
Not_bob,"'Cause there'll be no sunlight, if I lose you, baby There'll be no clear skies, if I lose you, baby "
Not_bob,"If you walk away, every day, it'll rain, rain, rain I'll never be your mother's favorite "
Not_bob,"Ooh, if I was in their shoes, I'd be doing the same thing Saying, ""There goes my little girl "
Not_bob,But they're just afraid of something they can't understand 
Not_bob,"Yeah, for you, I'll try, I'll try, I'll try, I'll try "
Not_bob,"If that'll make you mine 'Cause there'll be no sunlight, if I lose you, baby "
Not_bob,"Just like the clouds, my eyes will do the same If you walk away, every day it'll rain, rain, rain "
Not_bob,Don't you say (Don't you say) goodbye (Goodbye) I'll pick up these broken pieces 'til I'm bleedin' 
Not_bob,"'Cause there'll be no sunlight, if I lose you, baby There'll be no clear skies, if I lose you, baby "
Not_bob,"If you walk away, every day it'll rain, rain, rain67 Easy come, easy go, that's just how you live "
Not_bob,"Should've known you was trouble from the first kiss Had your eyes wide open, why were they open? "
Not_bob,"You tossed it in the trash, you did To give me all your love is all I ever asked "
Not_bob,"I'd catch a grenade for ya (Yeah, yeah, yeah) Throw my hand on a blade for ya (Yeah, yeah, yeah) "
Not_bob,"You know I'd do anything for ya (Yeah, yeah, yeah), oh, oh I would go through all this pain "
Not_bob,"Yes, I would die for you, baby But you won't do the same No, no, no, no "
Not_bob,"Tell the devil I said ""hey"" when you get back to where you're from "
Not_bob,"Yeah, you'll smile in my face, then rip the brakes out my car "
Not_bob,"You tossed it in the trash, yes, you did To give me all your love is all I ever asked "
Not_bob,"I'd catch a grenade for ya (Yeah, yeah, yeah) Throw my hand on a blade for ya (Yeah, yeah, yeah) "
Not_bob,"You know I'd do anything for ya (Yeah, yeah, yeah), oh, oh I would go through all this pain "
Not_bob,"Yes, I would die for you, baby But you won't do the same If my body was on fire "
Not_bob,"You said you loved me, you're a liar 'Cause you never, ever, ever did, baby "
Not_bob,"Throw my hand on a blade for ya (Yeah, yeah, yeah) "
Not_bob,"You know I'd do anything for ya (Yeah, yeah, yeah), oh, oh I would go through all this pain "
Not_bob,"Yes, I would die for you, baby But you won't do the same No, you won't do the same "
Not_bob,"Ooh, you'd never do the same No, no, no, no115 Oh, oh-oh-oh Oh-oh-oh-oh Oh-oh-oh "
Not_bob,"Her hair, her hair falls perfectly without her tryin' She's so beautiful, uh "
Not_bob,"Yeah, I know, I know, when I compliment her, she won't believe me "
Not_bob,"But every time she asks me, ""Do I look okay?"" When I see your face "
Not_bob,'Cause you're amazing Just the way you are And when you smile 
Not_bob,"'Cause, girl, you're amazing Just the way you are "
Not_bob,"Her laugh, her laugh, she hates, but I think it's so sexy She's so beautiful, uh "
Not_bob,"Oh, you know, you know, you know, I'd never ask you to change "
Not_bob,So don't even bother askin' if you look okay You know I'll say When I see your face 
Not_bob,'Cause you're amazing Just the way you are And when you smile 
Not_bob,"'Cause, girl, you're amazing Just the way you are The way you are The way you are "
Not_bob,Just the way you are When I see your face There's not a thing that I would change 
Not_bob,Just the way you are And when you smile The whole world stops and stares for a while 
Not_bob,Just the way you are Yeah53 I know you're somewhere out there Somewhere far away 
Not_bob,"My neighbors think I'm crazy But they don't understand You're all I had, you're all I had "
Not_bob,I sit by myself Talking to the moon Tryna get to you 
Not_bob,"Or am I a fool who sits alone talking to the moon? I'm feeling like I'm famous, the talk of the town "
Not_bob,"Yeah, I've gone mad But they don't know what I know 'Cause when the sun goes down "
Not_bob,"Yeah, they're talkin' back, oh At night when the stars light up my room I sit by myself "
Not_bob,"Tryna get to you In hopes you're on the other side talking to me, too "
Not_bob,"Oh-oh, oh-oh, oh-oh Do you ever hear me calling? Oh-oh (Oh-oh-oh), oh-oh (Oh-oh-oh), oh-oh "
Not_bob,"Still tryna get to you In hopes you're on the other side talking to me, too "
Not_bob,I know you're somewhere out there Somewhere far away89 They know what is what 
Not_bob,They just strut What the fuck? A tiger Don't lose no sleep Don't need opinions 
Not_bob,"Don't you come for me No, not today You're calculated I got your number 'Cause you're a joker "
Not_bob,"And you will kiss the ring You best believe So keep calm, honey, I'ma stick around "
Not_bob,"Funny my name keeps comin' out your mouth 'Cause I stay winnin', lay 'em up like Swish, swish, bish "
Not_bob,Can't touch this Another one in the casket Your game is tired You should retire 
Not_bob,An old coupon expired And karma's not a liar She keeps receipts 
Not_bob,"For more than a minute, get used to it Funny my name keeps comin' out your mouth "
Not_bob,"Swish, swish, bish Another one in the basket Can't touch this Another one in the casket (Let's go) "
Not_bob,Another one in the basket Can't touch this Another one in the casket They know what is what 
Not_bob,"They just, know what is what (Young Money) But they don't know what is what (What) "
Not_bob,But they don't know what is what They just strut What the fuck? (Yo) Pink Ferragamo sliders on deck 
Not_bob,"My life is a movie, I'm never off set Me and my amigos, no, not Offset "
Not_bob,"But my shooters'll make 'em dance like dubstep Swish, swish, aw, my haters is obsessed "
Not_bob,"Don't be tryna double back, I already despise you (Yeah) "
Not_bob,"Yo, yo Ran? When? Nicki gettin' tan Mirror, mirror, who's the fairest bitch in all the land? "
Not_bob,"The generous queen'll kiss a fan Ass goodbye, I'ma be ridin' by "
Not_bob,"A star's a star, da ha da ha They never thought the swish god would take it this far "
Not_bob,"I only rock with Queens, so I'm makin' hits with Katy Swish, swish, bish "
Not_bob,"Can't touch this (Can't touch this) Another one in the casket (And another one, and another one) "
Not_bob,"But they don't know what is what They just, know what is what But they don't know what is what "
Not_bob,"But they don't know what is what They just strut What the94 Yeah, y'all know what it is "
Not_bob,"Uh-huh, let's rage I knew you were, you were gonna come to me "
Not_bob,"'Cause I, I'm capable of anything Of anything, and everything Make me your Aphrodite "
Not_bob,"But don't make me your enemy (Enemy) Your enemy (Your enemy), your enemy "
Not_bob,"Boy, you should know what you're fallin' for Baby, do you dare to do this? "
Not_bob,"Are you ready for, ready for A perfect storm, perfect storm? "
Not_bob,"There's no goin' back Mark my words, this love will make you levitate "
Not_bob,We're down to earth if you choose to walk away Don't walk away (Walk away) 
Not_bob,"It's a yes or a no, no maybe So just be sure before you give it all to me "
Not_bob,"So you wanna play with magic? Boy, you should know what you're fallin' for "
Not_bob,"'Cause I'm comin' at you like a dark horse Are you ready for, ready for "
Not_bob,"'Cause once you're mine, once you're mine There's no goin' back "
Not_bob,"She eat your heart out like Jeffrey Dahmer (Woo) Be careful, try not to lead her on "
Not_bob,You may fall in love when you meet her (Meet her) 
Not_bob,"She's sweet as pie, but if you break her heart She turn cold as a freezer (Freezer) "
Not_bob,"She can be my sleepin' beauty, I'm gon' put her in a coma (Woo) "
Not_bob,"She ride me like a roller coaster, turn the bedroom into a fair (A fair) "
Not_bob,"But lil' mama so dope, I messed around and got addicted So you wanna play with magic? "
Not_bob,"Baby, do you dare to do this? 'Cause I'm comin' at you like a dark horse (Like a dark horse) "
Not_bob,"A perfect storm, perfect storm? (A perfect storm) 'Cause once you're mine, once you're mine (Mine) "
Not_bob,Are we crazy? Living our lives through a lens Trapped in our white picket fence Like ornaments 
Not_bob,"So comfortable, we cannot see the trouble, trouble Aren't you lonely Up there in utopia "
Not_bob,"Happily numb So comfortable, we're living in a bubble, bubble "
Not_bob,"So put your rose-colored glasses on And party on Turn it up, it's your favorite song "
Not_bob,"Turn it up, keep it on repeat Stumbling around like a wasted zombie Yeah, we think we're free "
Not_bob,"We're all chained to the rhythm To the rhythm, to the rhythm Turn it up, it's your favorite song "
Not_bob,"Turn it up, keep it on repeat Stumbling around like a wasted zombie Yeah, we think we're free "
Not_bob,"We're all chained to the rhythm To the rhythm, to the rhythm Are we tone deaf? "
Not_bob,"Thought we could do better than that I hope we can So comfortable, we're living in a bubble, bubble "
Not_bob,"So put (So put) your rose-colored glasses on And party on Turn it up, it's your favorite song "
Not_bob,"Turn it up, keep it on repeat Stumbling around like a wasted zombie Yeah, we think we're free "
Not_bob,"We're all chained to the rhythm To the rhythm, to the rhythm "
Not_bob,"Dance, dance, dance to the distortion Turn it up, keep it on repeat "
Not_bob,"Yeah, we think we're free Drink, this one's on me We're all chained to the rhythm "
Not_bob,"It is my desire Break down the walls to connect, inspire Ayy, up inna your high place, liars "
Not_bob,The truth they feed is feeble As so many times before They greed over the people 
Not_bob,"They woke up, they woke up the lions (Woo!) Turn it up, it's your favorite song "
Not_bob,"Turn it up, keep it on repeat (Turn it up, turn it up, yeah) "
Not_bob,"Yeah, we think we're free Drink, this one's on me (Oh, we're all) "
Not_bob,"To the rhythm, to the rhythm (Chained to the rhythm) It goes on and on and on (Turn it up, it goes) "
Not_bob,"It goes on and on and on (On and on and on, it goes) 'Cause we're all chained to the rhythm92 "
Not_bob,"We'd make out in your Mustang to Radiohead And on my eighteenth birthday, we got matching tattoos "
Not_bob,"Talked about our future like we had a clue Never planned that one day, I'd be losing you "
Not_bob,I would be your girl We'd keep all our promises Be us against the world In another life 
Not_bob,So I don't have to say you were The one that got away The one that got away 
Not_bob,"Never one without the other, we made a pact Sometimes when I miss you, I put those records on, woah "
Not_bob,"Saw you downtown, singing the blues It's time to face the music, I'm no longer your muse "
Not_bob,I would be your girl We'd keep all our promises Be us against the world In another life 
Not_bob,So I don't have to say you were The one that got away The one that got away The one The one The one 
Not_bob,"All this money can't buy me a time machine, no Can't replace you with a million rings, no "
Not_bob,'Cause now I pay the price In another life I would be your girl We'd keep all our promises 
Not_bob,In another life I would make you stay So I don't have to say you were The one that got away 
Not_bob,The one (The one) The one (The one) The one (The one) In another life I would make you stay 
Not_bob,The one that got away The one that got away49 Do you ever feel like a plastic bag 
Not_bob,"Do you ever feel, feel so paper-thin Like a house of cards, one blow from cavin' in? "
Not_bob,"Six feet under screams, but no one seems to hear a thing "
Not_bob,'Cause there's a spark in you You just gotta ignite the light And let it shine Just own the night 
Not_bob,"'Cause baby, you're a firework Come on show 'em what you're worth Make 'em go, ""Awe, awe, awe"" "
Not_bob,"Baby, you're a firework Come on, let your colors burst Make 'em go, ""Awe, awe, awe"" "
Not_bob,"You don't have to feel like a waste of space You're original, cannot be replaced "
Not_bob,After a hurricane comes a rainbow Maybe a reason why all the doors are closed 
Not_bob,"Like a lightning bolt, your heart will glow And when it's time, you'll know "
Not_bob,"And let it shine Just own the night Like the Fourth of July 'Cause baby, you're a firework "
Not_bob,"Make 'em go, ""Awe, awe, awe"" As you shoot across the sky-y-y Baby, you're a firework "
Not_bob,"Make 'em go, ""Awe, awe, awe"" You're gonna leave 'em all in awe, awe, awe ""Boom, boom, boom"" "
Not_bob,"It's always been inside of you, you, you And now it's time to let it throu-ou-ough "
Not_bob,"Come on show 'em what you're worth Make 'em go, ""Awe, awe, awe,"" As you shoot across the sky-y-y "
Not_bob,"Come on, let your colors burst Make 'em go, ""Awe, awe, awe"" "
Not_bob,"""Boom, boom, boom"" Even brighter than the moon, moon, moon ""Boom, boom, boom"" "
Not_bob,I used to bite my tongue and hold my breath Scared to rock the boat and make a mess 
Not_bob,I guess that I forgot I had a choice I let you push me past the breaking point 
Not_bob,"You held me down, but I got up (Hey) Already brushing off the dust "
Not_bob,"Like thunder, gonna shake the ground You held me down, but I got up (Hey) "
Not_bob,"I see it all, I see it now I got the eye of the tiger, a fighter Dancing through the fire "
Not_bob,"Louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar "
Not_bob,Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar 
Not_bob,"Stinging like a bee, I earned my stripes I went from zero, to my own hero "
Not_bob,"Already brushing off the dust You hear my voice, you hear that sound "
Not_bob,"You held me down, but I got up (Got up) Get ready 'cause I've had enough I see it all, I see it now "
Not_bob,"Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar "
Not_bob,"'Cause I am a champion, and you're gonna hear me roar Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh "
Not_bob,You're gonna hear me roar Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar) 
Not_bob,"You're gonna hear me roar Roar, roar, roar, roar, roar I got the eye of the tiger, a fighter "
Not_bob,"'Cause I am a champion, and you're gonna hear me roar Oh, louder, louder than a lion "
Not_bob,Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (Yeah) You're gonna hear me roar 
Not_bob,"Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar) Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar Ayy, yeah "
Not_bob,"'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet "
Not_bob,Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' 
Not_bob,Looks like you been starvin' You got those hungry eyes (Woo) You could use some sugar 
Not_bob,"I'm a five-star Michelin A Kobe flown in (Woo) You want what I'm cookin', boy Let me take you (Woo) "
Not_bob,We can wine and dine A table for two And it's okay (Woo) If you take your time 
Not_bob,"I'm on the menu 'Cause I'm all that you want, boy All that you can have, boy "
Not_bob,"Bon a—, bon appétit, baby Appetite for seduction Fresh out the oven "
Not_bob,"Bon a—, bon appétit, baby (Woo) So you want some more Well, I'm open twenty-four (Woo) "
Not_bob,Customer's always right (Woo) Hope you got some room (Oh) For the world's best cherry pie (Woo) 
Not_bob,Let me take you (Woo) Under candlelight We can wine and dine A table for two (For two) 
Not_bob,"If you take your time (Ayy) Eat with your hands, fine (Yeah) I'm on the menu (Go ahead) "
Not_bob,"All that you can have, boy (Ayy) Got me spread like a buffet Bon a—, bon appétit, baby (Bon appétit) "
Not_bob,"Fresh out the oven (Fresh out the oven) Melt in your mouth kind of lovin' Bon a—, bon appétit, baby "
Not_bob,"All that you can have, boy Got me spread like a buffet Bon a—, bon appétit, baby (Bon appétit) "
Not_bob,"Fresh out the oven (Woo) Melt in your mouth kind of lovin' (Hey) Bon a—, bon appétit, baby (Quavo) "
Not_bob,It'll change your mind (Change) Got you runnin' back for seconds (Runnin') Every single night (Ayy) 
Not_bob,"No waterfall, she drippin' wet just like my ice (Blast) "
Not_bob,"If she do right, told her, ""Get whatever you like"" (Offset) "
Not_bob,"Make her do a donut when she ride, aight (Skrrt) "
Not_bob,"In her spine and my diamonds change the climate (Shine, yeah) "
Not_bob,"Whipped cream (Whip), no dairy (Whip) Got her hot light on, screamin', ""I'm ready"" (Hot) "
Not_bob,"'Cause I'm all that you want, boy (All that you want) All that you can have, boy (Oh) "
Not_bob,"Bon a—, bon appétit, baby (Eat it up, eat it up, eat it up) "
Not_bob,"Fresh out the oven (Yeah, yeah, yeah) Melt in your mouth kind of lovin' "
Not_bob,"Under candlelight (Yeah, woo) Bon appétit, baby (Woo)60 This was never the way I planned "
Not_bob,"I got so brave, drink in hand Lost my discretion It's not what I'm used to Just wanna try you on "
Not_bob,Caught my attention I kissed a girl and I liked it The taste of her cherry ChapStick 
Not_bob,"I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight "
Not_bob,"I liked it No, I don't even know your name It doesn't matter You're my experimental game "
Not_bob,It's not what good girls do Not how they should behave My head gets so confused Hard to obey 
Not_bob,The taste of her cherry ChapStick I kissed a girl just to try it I hope my boyfriend don't mind it 
Not_bob,"Don't mean I'm in love tonight I kissed a girl and I liked it I liked it Us girls, we are so magical "
Not_bob,"Hard to resist, so touchable Too good to deny it Ain't no big deal, it's innocent "
Not_bob,The taste of her cherry ChapStick I kissed a girl just to try it I hope my boyfriend don't mind it 
Not_bob,Don't mean I'm in love tonight I kissed a girl and I liked it I liked it44 
Not_bob,"Yeah, you’re starting to trickle back in But I don't wanna fall down the rabbit hole "
Not_bob,"I tell myself, tell myself, tell myself, ""Draw the line"" And I do, I do "
Not_bob,And I think of you Two years and just like that My head still takes me back 
Not_bob,"Guess it’s never really over Oh, we were such a mess But wasn't it the best? "
Not_bob,Guess it's never really over Just because it's over doesn't mean it's really over 
Not_bob,And I'll have to get over you all over again Just because it’s over doesn’t mean it's really over 
Not_bob,And I'll have to get over you all over again I guess I could try hypnotherapy 
Not_bob,'Cause I can't even go on the internet Without even checking your name 
Not_bob,"And I do, I do But once in a while, I trip up, and I cross the line I think of you "
Not_bob,"My head still takes me back Thought it was done, but I Guess it’s never really over "
Not_bob,"But wasn't it the best? Thought it was done, but I Guess it's never really over "
Not_bob,"And if I think it over, maybe you'll be coming over again "
Not_bob,Just because it's over doesn't mean it's really over 
Not_bob,And I'll have to get over you all over again Thought we kissed goodbye 
Not_bob,But I guess it's never really over Thought we drew the line right through you and I 
Not_bob,"I guess it's never really over, yeah Two years and just like that My head still takes me back "
Not_bob,Guess it's never really over Just because it's over doesn't mean it's really over 
Not_bob,And I'll have to get over you all over again (And I'll have to get over you all over again) 
Not_bob,"And if I think it over, maybe you'll be coming over again "
Not_bob,(Over you all over again) Thought we kissed goodbye Thought we meant this time was the last 
Not_bob,Thought we drew the line right through you and I Can't keep going back 
Not_bob,"Greetings, loved ones Let's take a journey I know a place Where the grass is really greener "
Not_bob,There must be somethin' in the water Sippin' gin and juice 
Not_bob,The boys break their necks Tryna creep a little sneak peek (What? At us) You could travel the world 
Not_bob,"Once you party with us You'll be falling in love Oh, oh-oh-oh-oh-oh-oh "
Not_bob,"Daisy Dukes, bikinis on top Sun-kissed skin so hot, we'll melt your popsicle "
Not_bob,"California girls, we're undeniable Fine, fresh, fierce, we got it on lock "
Not_bob,"Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh Sex (Sex) on the beach We don't mind sand in our stilettos "
Not_bob,"Snoop Doggy Dogg on the stereo, oh, oh You could travel the world (You could travel the world) "
Not_bob,"Once you party with us (Once you party with us) You'll be falling in love Oh, oh-oh-oh-oh-oh-oh "
Not_bob,"Daisy Dukes, bikinis on top Sun-kissed skin so hot, we'll melt your popsicle (Ooh) "
Not_bob,"California girls (California), we're undeniable Fine, fresh, fierce, we got it on lock "
Not_bob,"Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh Toned, tan, fit, and ready (Ready) "
Not_bob,"Wild, wild, West Coast These are the girls I love the most "
Not_bob,"Kiss her, touch her, squeeze her buns (Uh) The girl's a freak She drive a Jeep and live on the beach "
Not_bob,I love the Bay (Bay) just like I love L.A.​ (L.A.​) Venice Beach and Palm Springs (Hey) 
Not_bob,"Homeboys bangin' out All that ass hangin' out Bikinis, zucchinis, martinis "
Not_bob,"Katy, my lady (Yeah?) Look at here, baby (Uh-huh) I'm all up on ya "
Not_bob,"California girls, we're unforgettable Daisy Dukes, bikinis on top (Hey) "
Not_bob,"Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh (Come on, come on, oh, oh, oh yeah) "
Not_bob,"Fine, fresh, fierce, we got it on lock West Coast represent (West Coast, West Coast) "
Not_bob,"Oh-oh-oh-oh-oh-oh, oh, oh-oh-oh-oh-oh California California girls (California girls, man) "
Not_bob,California Girls33 A club isn't the best place to find a lover So the bar is where I go (Mm) 
Not_bob,Drinkin' fast and then we talk slow (Mm) And you come over and start up a conversation with just me 
Not_bob,"Take my hand, stop, put Van the Man on the jukebox "
Not_bob,"Girl, you know I want your love Your love was handmade for somebody like me "
Not_bob,"I may be crazy, don't mind me Say, ""Boy, let's not talk too much"" "
